date,is_weekend,bank_holiday_flag,dayofweek,month,dayofyear,staffing_level_fte,channel_mix_index,backlog_days,media_mentions,forecast_recovered_complaints
2026-01-28,0,0,2,1,28,44.740217479963455,51.49775600878961,11.308203505001813,1.725569816601782,103.92049468840837
2026-01-29,0,0,3,1,29,45.27847259434357,51.29131099383974,11.065060604272894,1.7353678063217215,101.1154323250197
2026-01-30,0,0,4,1,30,45.74864671327706,48.35895819950447,10.864213935314844,1.71336294159009,98.35905518496563
2026-01-31,1,0,5,1,31,46.581064680150625,47.03689871753204,11.517686684323257,1.655208745066183,104.82337215668099
2026-02-01,1,0,6,2,32,47.18884898874154,45.3247140377939,11.460131208429981,1.7424177391223674,101.99115583085845
2026-02-02,0,0,0,2,33,45.04079140302441,45.175184594452446,11.805472829361321,1.843698497374122,111.91768578613195
2026-02-03,0,0,1,2,34,44.60406932733398,44.566485652846104,11.560160463818143,1.8318583674814661,106.89248960198637
2026-02-04,0,0,2,2,35,44.76105823165536,43.66794774467499,11.338201354516464,1.8223689969304133,102.10142445342566
2026-02-05,0,0,3,2,36,45.2636968796209,43.5235579762594,11.144114090964306,1.8039554657617864,99.98432149504812
2026-02-06,0,0,4,2,37,45.74952586505634,42.51011817239872,10.949758328333397,1.7903088233723299,95.30509909680984
2026-02-07,1,0,5,2,38,46.58064606460216,43.766429471414845,11.612241525923906,1.7331088374368244,102.53970711522622
2026-02-08,1,0,6,2,39,47.17810341765518,43.7284266350668,11.379266684244776,1.7175846648363586,100.58983264637149
2026-02-09,0,0,0,2,40,44.98963940162328,45.23466867417376,11.756081088442372,1.8175953147068196,109.59986040511419
2026-02-10,0,0,1,2,41,44.56203670373847,46.61438428254686,11.511366726805882,1.8056503053865671,104.95135014043152
2026-02-11,0,0,2,2,42,44.75971696805178,48.60153834719279,11.303717055930015,1.7882597477867386,101.10994498166546
2026-02-12,0,0,3,2,43,45.23326943977867,48.3621218893635,11.081221959113956,1.7720703079560687,97.86241097781763
2026-02-13,0,0,4,2,44,45.72841698273691,50.55556379456259,10.875379309513173,1.7585458219393577,95.89182855645045
2026-02-14,1,0,5,2,45,46.546370755780224,51.17493466693806,11.521998654953208,1.6997001736277002,102.15827360294618
2026-02-15,1,0,6,2,46,47.15488081662242,52.50294286947029,11.324370054198473,1.681918372273743,99.14651927040644
2026-02-16,0,0,0,2,47,44.92769098252917,53.76303844576748,11.660761550446022,1.7830973979798677,109.09593302522683
2026-02-17,0,0,1,2,48,44.53439909356396,54.26367131153743,11.436766101382382,1.7688762283681985,104.40650795064806
2026-02-18,0,0,2,2,49,44.736340911502296,54.753190135209245,11.218970970476928,1.7530505629784598,100.63057010552498
2026-02-19,0,0,3,2,50,45.19595816734547,55.065509003061116,11.010956942339215,1.7388418051586454,97.64636013304212
2026-02-20,0,0,4,2,51,45.69320351659761,55.811052464777035,10.803031553869555,1.7242647230071013,94.37698949096972
2026-02-21,1,0,5,2,52,46.508525452400704,55.232224520454764,11.450829988669426,1.6660684494324605,101.22636321352488
2026-02-22,1,0,6,2,53,47.11881424139955,55.019185256150216,11.225255352282122,1.6493224965382305,98.54351895077315
2026-02-23,0,0,0,2,54,44.87372740526577,54.63393258818539,11.575600998568408,1.7524396212336355,107.75532736590853
2026-02-24,0,0,1,2,55,44.4838751973997,53.79594102041548,11.348225117216145,1.7378085156774448,103.63766691291382
2026-02-25,0,0,2,2,56,44.7015578124462,52.677617077650446,11.135117156064313,1.722954417386917,99.74108874649968
2026-02-26,0,0,3,2,57,45.15018371402134,52.239240400058556,10.920215978304968,1.7085469909117337,96.56681720979998
2026-02-27,0,0,4,2,58,45.649082496204315,50.475590001881955,10.708656336534375,1.6932726008323882,93.45321456684809
2026-02-28,1,0,5,2,59,46.45930646162043,49.341984532375655,11.351482498616265,1.6350494105737012,100.26933837497543
2026-03-01,1,0,6,3,60,47.11332373976113,47.47307076901548,11.302817256543022,1.7180168616441303,97.53756786878489
2026-03-02,0,0,0,3,61,44.862752113844124,47.009032355345255,11.649618321172598,1.8223524119023138,107.21865672823063
2026-03-03,0,0,1,3,62,44.48667127682562,46.28235875791143,11.443251275394653,1.8101503861500319,102.75607656204852
2026-03-04,0,0,2,3,63,44.71318715850993,45.520015392498834,11.242928906476093,1.7969504817491273,99.15546849166837
2026-03-05,0,0,3,3,64,45.15955900825247,44.85358464377461,11.04591967797334,1.7834736124702528,96.11067518274223
2026-03-06,0,0,4,3,65,45.66246243202494,44.18409886970157,10.850185228983756,1.7701836386664493,92.77837568028949
2026-03-07,1,0,5,3,66,46.474901527171355,44.22839196293175,11.510731257465485,1.7137304597908165,99.81412661682845
2026-03-08,1,0,6,3,67,47.10301992364549,44.314052956912505,11.308972393737466,1.6952593038662442,96.7585252222474
2026-03-09,0,0,0,3,68,44.84141814291573,45.25157326369433,11.654347310483006,1.7969724470869555,106.33447988136753
2026-03-10,0,0,1,3,69,44.466785153393644,45.93716497060104,11.442556075448044,1.7830950448135405,101.99009041850776
2026-03-11,0,0,2,3,70,44.69877419165441,46.924039787656824,11.236441397112515,1.7679642513222202,98.56427657971605
2026-03-12,0,0,3,3,71,45.141102540928244,47.30037504501674,11.028935377480654,1.7528223936165994,95.38945774579992
2026-03-13,0,0,4,3,72,45.64337089210608,48.61386382359096,10.821847536416456,1.7377357918567575,92.45385263937688
2026-03-14,1,0,5,3,73,46.45299368383205,49.34896501458417,11.468698819801622,1.679370990390304,99.39860201273149
2026-03-15,1,0,6,3,74,47.08029713997227,50.500342503366966,11.272665771349413,1.6613236508834899,96.26892414757464
2026-03-16,0,0,0,3,75,44.81268435082423,51.85636285925598,11.612520466375042,1.762986837685982,106.02822716068646
2026-03-17,0,0,1,3,76,44.44071798829242,52.584719923618394,11.400571088492292,1.7489292227356934,101.7025473574171
2026-03-18,0,0,2,3,77,44.67567707549051,53.159551482298106,11.192260607316229,1.733772740771589,98.32532558748207
2026-03-19,0,0,3,3,78,45.116155723213424,53.766747435507654,10.984607740392581,1.7186543650199244,95.23211101733932
2026-03-20,0,0,4,3,79,45.61832971091772,54.28171944770974,10.777074746111673,1.7035196053253185,92.12689836688244
2026-03-21,1,0,5,3,80,46.427214475361396,54.24945597123652,11.424643167992173,1.6451891586509726,99.13429250223612
2026-03-22,1,0,6,3,81,47.04999595440103,54.183384850666016,11.211353051828691,1.629855374865634,95.9749858829966
2026-03-23,0,0,0,3,82,44.77720231923016,54.343710685605714,11.550041389796313,1.73170725141052,105.59788113085888
2026-03-24,0,0,1,3,83,44.404907144635004,53.93875351187929,11.335865801069364,1.7177382015970464,101.29639946347501
2026-03-25,0,0,2,3,84,44.64157205200525,53.27301225697974,11.125557824604169,1.7027082675312761,97.85604896883501
2026-03-26,0,0,3,3,85,45.08019029324794,52.78854630861266,10.914850256411478,1.6876797699865427,94.66419979816584
2026-03-27,0,0,4,3,86,45.581390972055615,51.71358809192745,10.704132553566254,1.6726298462198104,91.51183675724161
2026-03-28,1,0,5,3,87,46.38860219499392,50.76518725743539,11.348006508487725,1.6144025288705126,98.44406678757326
2026-03-29,1,0,6,3,88,47.01139637358601,49.595752062758706,11.141900931357924,1.6015359265675548,95.20192098496574
2026-03-30,0,0,0,3,89,44.73579882060051,49.19830438241898,11.479219289390251,1.703486298888578,104.83406033252254
2026-03-31,0,0,1,3,90,44.36369133429738,48.471440433447924,11.265489793816968,1.6896303178663212,100.44968519076626
